"chromosome","start","end","name","score","strand"
"chr9",10745,11005,"K4m3",1000,"."
"chr9",73480,73830,"enhP",1000,"."
"chr9",112547,112785,"enhP",1000,"."
"chr9",112920,113195,"enhP",1000,"."
"chr9",113548,113772,"prom",1000,"."
"chr9",113785,113994,"prom",1000,"."
"chr9",113996,114201,"enhP",1000,"."
"chr9",114206,114377,"K4m3",1000,"."
"chr9",114915,115108,"enhP",1000,"."
"chr9",179134,179478,"prom",1000,"."
"chr9",185507,185797,"enhD",1000,"."
"chr9",206298,206466,"enhD",1000,"."
"chr9",209382,209717,"enhD",1000,"."
"chr9",211122,211308,"enhD",1000,"."
"chr9",211545,211882,"enhD",1000,"."
"chr9",212310,212659,"enhD",1000,"."
"chr9",214208,214440,"enhP",1000,"."
"chr9",214696,214994,"prom",1000,"."
"chr9",214999,215206,"enhP",1000,"."
"chr9",215310,215466,"enhP",1000,"."
"chr9",215782,216124,"enhP",1000,"."
"chr9",216298,216594,"enhP",1000,"."
"chr9",216923,217264,"enhP",1000,"."
"chr9",219721,219978,"enhD",1000,"."
"chr9",220032,220313,"enhD",1000,"."
"chr9",222048,222364,"enhD",1000,"."
"chr9",222372,222703,"enhD",1000,"."
"chr9",223270,223446,"enhD",1000,"."
"chr9",224109,224288,"enhD",1000,"."
"chr9",224570,224872,"enhD",1000,"."
"chr9",225166,225515,"enhD",1000,"."
"chr9",225663,225987,"enhD",1000,"."
"chr9",227921,228229,"enhD",1000,"."
"chr9",240804,241005,"enhD",1000,"."
"chr9",249125,249331,"enhD",1000,"."
"chr9",250093,250443,"enhD",1000,"."
"chr9",250725,251027,"enhD",1000,"."
"chr9",251432,251770,"enhD",1000,"."
"chr9",254594,254932,"enhD",1000,"."
"chr9",258013,258354,"enhD",1000,"."
"chr9",259508,259709,"enhD",1000,"."
"chr9",259782,260124,"enhD",1000,"."
"chr9",260172,260434,"enhD",1000,"."
"chr9",267986,268308,"enhD",1000,"."
"chr9",269348,269682,"enhD",1000,"."
"chr9",269954,270278,"enhD",1000,"."
"chr9",271787,272027,"enhP",1000,"."
"chr9",272206,272556,"enhP",1000,"."
"chr9",272793,273143,"prom",1000,"."
"chr9",273443,273657,"enhP",1000,"."
"chr9",274043,274311,"enhP",1000,"."
"chr9",274513,274700,"enhP",1000,"."
"chr9",275823,276081,"enhD",1000,"."
"chr9",277663,277920,"enhD",1000,"."
"chr9",277994,278186,"enhD",1000,"."
"chr9",278302,278593,"enhD",1000,"."
"chr9",278665,279010,"enhD",1000,"."
"chr9",280421,280623,"enhD",1000,"."
"chr9",281533,281799,"enhD",1000,"."
"chr9",281879,282199,"enhD",1000,"."
"chr9",282243,282446,"enhD",1000,"."
"chr9",285181,285508,"enhD",1000,"."
"chr9",286114,286375,"enhD",1000,"."
"chr9",286437,286652,"enhD",1000,"."
"chr9",288883,289170,"enhD",1000,"."
"chr9",289173,289496,"enhD",1000,"."
"chr9",293451,293632,"enhD",1000,"."
"chr9",296634,296910,"enhD",1000,"."
"chr9",297126,297439,"enhD",1000,"."
"chr9",297532,297880,"enhD",1000,"."
"chr9",300078,300343,"enhD",1000,"."
"chr9",304188,304461,"enhD",1000,"."
"chr9",304554,304881,"enhD",1000,"."
"chr9",304918,305119,"enhD",1000,"."
"chr9",306840,307182,"enhD",1000,"."
"chr9",311512,311764,"enhD",1000,"."
"chr9",311910,312251,"enhD",1000,"."
"chr9",325121,325356,"enhD",1000,"."
"chr9",326445,326674,"enhD",1000,"."
"chr9",326720,327042,"enhD",1000,"."
"chr9",330973,331148,"enhD",1000,"."
"chr9",331751,332091,"enhD",1000,"."
"chr9",333576,333831,"enhD",1000,"."
"chr9",335397,335741,"enhD",1000,"."
"chr9",337003,337248,"enhD",1000,"."
"chr9",338767,339005,"enhD",1000,"."
"chr9",340802,341130,"enhD",1000,"."
"chr9",343803,344151,"enhD",1000,"."
"chr9",346174,346492,"enhD",1000,"."
"chr9",346528,346829,"enhD",1000,"."
"chr9",347761,348012,"CTCF",1000,"."
"chr9",349574,349748,"enhD",1000,"."
"chr9",350384,350730,"enhD",1000,"."
"chr9",353181,353421,"enhD",1000,"."
"chr9",353477,353741,"enhD",1000,"."
"chr9",369733,370013,"enhD",1000,"."
"chr9",370124,370473,"enhD",1000,"."
"chr9",371389,371738,"enhD",1000,"."
"chr9",372172,372453,"enhD",1000,"."
"chr9",373840,374012,"enhD",1000,"."
"chr9",374053,374364,"enhD",1000,"."
"chr9",382277,382530,"K4m3",1000,"."
